one battle with attributes : is_ottoman_offensive = 0, betrayal = 0, march_from_constantinople = 0, is_water_poisoned = 0, size_increase = 0, rounds = 180

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 1,56,0,56,0,0,0,56,0,0, 
Tamerlane, 1,61,0,61,0,0,0,61,0,0, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 2,56,0,56,0,0,0,56,0,0, 
Tamerlane, 2,61,0,61,0,0,0,61,0,0, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 3,56,0,56,0,0,0,56,0,0, 
Tamerlane, 3,61,0,61,0,0,0,61,0,0, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 4,56,0,56,0,0,0,56,0,0, 
Tamerlane, 4,61,0,61,0,0,0,61,0,0, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 5,56,0,56,0,0,0,56,0,0, 
Tamerlane, 5,61,0,61,0,0,0,61,0,0, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 6,56,0,56,0,0,0,56,0,0, 
Tamerlane, 6,61,0,61,0,0,0,61,0,0, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 7,56,0,56,0,0,0,55,1,0, 
Tamerlane, 7,61,0,61,0,0,0,60,1,0, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 8,56,0,56,0,0,0,38,18,0, 
Tamerlane, 8,61,0,61,0,0,0,46,15,0, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 9,56,0,56,0,0,0,27,29,0, 
Tamerlane, 9,61,0,61,0,0,0,28,33,0, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 10,56,0,56,0,0,0,23,33,0, 
Tamerlane, 10,61,0,61,0,0,0,22,39,0, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 11,56,0,56,0,0,0,21,35,0, 
Tamerlane, 11,61,0,61,0,0,0,14,47,0, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 12,56,0,56,0,0,0,20,36,0, 
Tamerlane, 12,61,0,61,0,0,0,11,50,0, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 13,56,0,56,0,0,0,20,34,2, 
Tamerlane, 13,61,0,61,0,0,0,9,51,1, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 14,56,0,56,0,0,0,15,36,5, 
Tamerlane, 14,61,0,61,0,0,0,9,51,1, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 15,56,0,56,0,0,0,15,36,5, 
Tamerlane, 15,61,0,61,0,0,0,9,50,2, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 16,55,1,55,0,0,0,15,35,6, 
Tamerlane, 16,61,0,61,0,0,0,13,46,2, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 17,55,1,55,0,0,0,15,35,6, 
Tamerlane, 17,61,0,61,0,0,0,9,49,3, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 18,54,2,54,0,0,0,15,31,10, 
Tamerlane, 18,60,1,60,0,0,0,12,45,4, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 19,54,2,54,0,0,0,16,30,10, 
Tamerlane, 19,60,1,60,0,0,0,9,46,6, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 20,52,4,52,0,0,0,15,29,12, 
Tamerlane, 20,60,1,60,0,0,0,14,40,7, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 21,52,4,52,0,1,0,15,28,12, 
Tamerlane, 21,60,1,60,0,0,0,11,43,7, 

side, rounds, Alive, Dead, In Battlefield, Left Battlefield, Broken, Retreat, Ready, Engaged, Fight to Death, 
Ottoman, 22,52,4,52,0,1,0,15,28,12, 
Tamerlane, 22,60,1,60,0,1,0,9,44,7, 

